row_id	rule	detail
UV-208	glossary_chemistry	banned jargon 'singlet oxygen'
UV-208	glossary_chemistry	banned jargon 'reactive oxygen species'
UV-208	glossary_chemistry	banned jargon 'singlet oxygen'
UV-441	glossary_chemistry	banned jargon 'singlet oxygen'
UV-441	glossary_chemistry	banned jargon 'singlet oxygen'
UV-452	glossary_chemistry	banned jargon 'IL-6'
UV-452	glossary_chemistry	banned jargon 'IL-6'
TEM-99	glossary_chemistry	banned jargon 'reactive oxygen species'
TEM-99	glossary_chemistry	banned jargon 'reactive oxygen species'
POL-172	glossary_chemistry	banned jargon 'reactive oxygen species'
POL-175	glossary_chemistry	banned jargon 'NLRP3 inflammasome'
POL-184	glossary_chemistry	banned jargon 'reactive oxygen species'
POL-184	glossary_chemistry	banned jargon 'reactive oxygen species'
NUT-179	glossary_chemistry	banned jargon 'reactive oxygen species'
NUT-179	glossary_chemistry	banned jargon 'reactive oxygen species'
NUT-194	glossary_chemistry	banned jargon 'reactive oxygen species'
NUT-195	glossary_chemistry	banned jargon 'reactive oxygen species'
NUT-195	glossary_chemistry	banned jargon 'reactive oxygen species'
NUT-205	glossary_chemistry	banned jargon 'IL-8'
NUT-205	glossary_chemistry	banned jargon 'IL-8'
NUT-221	glossary_chemistry	banned jargon 'IL-8'
NUT-221	glossary_chemistry	banned jargon 'IL-8'
NUT-258	glossary_chemistry	banned jargon 'IGF-1'
LIF-209	glossary_chemistry	banned jargon 'TRPV1'
LIF-209	glossary_chemistry	banned jargon 'TRPV1'
UV-208	book_not_in_inventory	source '2022 1st ed' not matched in Book Inventory
UV-5	evening_l1	missing alert_l1_evening_personalised
UV-5	evening_l1	missing alert_l1_evening_guest
