Field,Option
Benefits,Acne Control
,Adding Texture
,adds shine
,Age Defying
,Anti Hair Fall
,Anti Hairfall
,anti-aging
,Anti-Frizz
,Antioxidant Protection
,Balancing Oily Scalp
,Boosting Collagen
,Bouncy
,brightening
,Brightens and evens skin tone
,Brightens dull skin Helps reduce dark spots Lightweight & non-sticky Suitable for all skin types
,Brow Growth/Thickening
,Callus Removal
,Cell Turnover
,Cellulite Reduction
,Chip Resistance
,Cleanses without stripping
,Cleansing
,Color
,Color Protection
,Colour Refresh
,Conditioning
,Cooling
,Cooling/Refreshing
,Cracked Heel Repair
,Curl Definition
,Cuticle Care
,Damage Repair
,Dandruff Control
,Dandruff Treatment
,Dark Circle Reduction
,Dark Spot Correction
,De-Puffing
,Deep Cleansing
,Detangling
,Easy Application
,Even Skin Tone
,Exfoliation
,Firming
,Firming/Lifting
,Frizz Control
,Fungus Prevention/Treatment
,Glossy Finish
,Glow
,Growth Promotion
,Hair Fall Care
,Hair Growth Stimulation
,Hair Growth Support
,Hair Strengthening
,Healing Chapped Lips
,Heat Protection
,Helps Reduce Acne
,Hydrates & protects lips from UV damage
,Hydrating
,Hydration
,Hydration/Moisturizing
,Improving Texture
,Lash Growth/Strengthening
,Lightweight
,Locks in moisture
,Long Lasting
,Long-lasting Makeup
,Long-lasting Wear
,Luminous
,Moisturising
,Moisturizing
,Nail Repair
,Non-Drying
,Non-Sticky
,Nourishes skin barrier
,Nourishing
,Nourishment
,Odor Control
,Oil Control
,Plumping
,Pore Minimising
,Pore Minimizing
,Preserving Hair Color
,Prevents tanning & sunburn
,protects against blue light
,Puffiness Reduction
,Redness Reduction
,Reduces flakes
,refreshes skin
,Regenerating
,Rejuvenating
,Removes dirt & excess oil
,Repair
,Repair Dry/Cracked Skin
,Restorative
,Revitalizing
,Sanitizing
,Scalp Cleansing
,Scalp Soothing
,Self-tanning
,Shine
,Skin Brightening
,Skin Plumping
,Skin Smoothing
,Smoothening
,Smoothing
,Softening
,Soothing Sensitive Skin
,Soothing Tired Feet
,Split End Repair
,Straightening
,Strenghtening
,Strengthening
,Strengthening Nails
,Stretch Mark Reduction
,string
,Strong Hold
,Stronger
,Sun Protection
,Tightening
,UV Protection
,Vitamin Infused
,Volumising
,Volumizing
,Water Resistant
,Waterproof
,Waterproof Makeup
,Wrinkle Smoothing
Product classification,Cosmecuticals
,Cosmetics
,Nutraceutical
,Skincare
Body part,Body
,Body Care
,Face
,Face & Body
,Hair
,Lips
,Scalp & Hair
,Skin
Makeup finish,Dewy
,Fresh
,Glossy
,Glowy
,Matte
,Natural
,Radiant
,Satin
,Semi-matte
,Velvet
Fragrance family,Citrus
,Clean
,Floral
,Fragrance free
,Fresh
,Vanilla
Special feature,Anti-Aging
,Anti-dandruff
,Antioxidant-rich
,Antioxidants
,Body Lotions & Moisturizers
,Clinically Proven
,Cruelty Free
,Dermatologically Tested
,Exfoliating
,Fragrance Free
,Gentle
,Hypoallergenic
,Long-lasting hydration
,Mineral Oil Free
,Natural
,Non-Comedogenic
,Oil Free
,Paraben Free
,Parabens Free
,Petrochemical Free
,pH balanced
,pH-balanced
,Silicone Free
,SPF 20
,SPF 50 UVA/UVB protection
,Sulfate Free
,Sulphate Free
,Vegan
Certifications,FDA
,FSSAI
,ISO 9001
Formulation,Balm
,Bar
,Capsule
,Cleansing Milk
,Cream
,Effervescent
,Emollient
,Eye Pad
,Foam
,Gel
,Liquid
,Lotion
,Lotion/Body Butter
,Mask
,Mist
,Mousse
,Oil
,Other
,Pack
,Paper
,Powder
,Roll on
,Scrub
,Serum
,Solid
,Spray
,Stick
,Tablet
,Water-Based
,Wax
,Wipes
Gender,Boy
,Female
,Girl
,Male
,Men
,Other
,Unisex
,Women
Claims,100% Natural
,100% Pure and Triple-Purified
,100% Vegan
,2-in-1 formula
,8 Times More potent Vitamin C formula
,Anti-aging
,Anti-Aging Support
,Antioxidant Protection
,Antioxidant Shield
,Barrier Repair
,Barrier Repair & Hydration
,Brain Health
,Brightening
,Brightening Effect
,Brightens skin tone
,Brighter Skin
,Broad Spectrum Protection
,Broad spectrum SPF 20
,Broad spectrum SPF 50
,Builds Immunity
,Clears Buildup Brightens skin Fades Tan
,Clinically proven
,Clinically Proven to Heal Dry Skin
,Cruelty Free
,Cruelty-Free
,Dark Spot Control
,Deep hydration
,Deeply cleanses
,Deeply Hydrates Soothes Inflammation UV protection
,Dermatologically tested
,Dermatologically tested Free from Parabens & Sulfates Made Safe Certified No harmful chemicals
,Dermatologist tested
,Dermatologist-Crafted Skin Longevity System
,Dermatologist-Tested
,"Detoxifies skin, Purifies skin"
,Eco Consious and Toxin Free
,Fragrance free
,Fragrance-free
,Gelatin Free
,Gentle
,Gentle exfoliation
,Gluten Free
,Healthy Aging
,Home-use moisturizing cosmetic gel with a plumping effect
,Hydrating
,Hydration & Comfort
,Hydration Boost
,Hypoallergenic
,Improves Hair Volume & Density
,Instant fairness
,Lightweight texture
,Locks in Moisture For 24 Hours
,Mineral Oil Free
,Natural glow
,No Added Preservatives
,No Animal Testing (Cruelty-Free)
,No Mineral Oil
,No Parabens
,No Silicones
,No Sulphates
,Non-comedogenic
,Non-drying
,Non-sticky
,Non-Sticky Texture
,Oil regulation
,Oil-free
,Paraben and mineral oil free
,Paraben Free
,Paraben-free
,Pediatrically-Approved for Baby Skin Care
,Petrolatum Free
,PH Balanced
,Prevents Diaper Rash
,Prevents Hair Fall
,Professional Skin Care
,Protects Minor Cuts and Scrapes
,Reduces Pigmentation Restores firmness Repairs Barrier
,Regenerates New Hair Growth
,Retinol Alternative
,Sensitive-skin safe
,Skin Barrier Repair
,Skins Wellness
,Soothing
,Soothing Care
,Soothing cleanse
,Sports Recovery
,Steroid free
,Sulfate free
,Sulfate-free
,Sulfate-free formula
,Sulphate Free
,Tri-Retinoid Complex 0.3%
,Tri-Retinoid Complex 0.3% Anti-Aging Support Antioxidant Protection Barrier Repair & Hydration Brighter Skin
,Triple Acid Formula
,Vegan
Tags,2-in-1 Cleanser
,30g Airless Pump Cream
,Aakaar Medical Technologies
,Acne
,acne cleanser
,Acne Control
,Acne Removal
,Advanced Skincare
,AirlessPumpSkincare
,all-fields
,Aloe Vera
,Alpha Arbutin Skincare
,amino acids
,Anti Dandruff Serum
,Anti Hair Fall Oil
,Anti Hair Fall Serum
,Anti Pollution
,Anti-Aging
